0 0.1 0.2 0.30000000000000004 0.4 0.5 0.6000000000000001 0.7000000000000001 0.8 0.9 1 1.1 1.2000000000000002 1.3 1.4000000000000001 1.5 1.6 1.7000000000000002 1.8 1.9000000000000001 2 2.1 2.2 2.3000000000000003 2.4000000000000004 2.5 2.6 2.7 2.8000000000000003 2.9000000000000004 3 3.1 3.2 3.3000000000000003 3.4000000000000004 3.5 3.6 3.7 3.8000000000000003 3.9000000000000004 4 4.1000000000000005 4.2 4.3 4.4 4.5 4.6000000000000005 4.7 4.800000000000001 4.9 5 5.1000000000000005 5.2 5.300000000000001 5.4 5.5 5.6000000000000005 5.7 5.800000000000001 5.9 6 6.1000000000000005 6.2 6.300000000000001 6.4 6.5 6.6000000000000005 6.7 6.800000000000001 6.9 7 7.1000000000000005 7.2 7.300000000000001 7.4 7.5 7.6000000000000005 7.7 7.800000000000001 7.9 8 8.1 8.200000000000001 8.3 8.4 8.5 8.6 8.700000000000001 8.8 8.9 9 9.1 9.200000000000001 9.3 9.4 9.5 9.600000000000001 9.700000000000001 9.8 9.9 10 
0+0j 1.7612866727040684+0j 20.303142458652246+0j -176850149.7169511+0j 41379998194352673000000000000000000000000000000000000+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 0+2.056505317687161j 0+420.7577275520274j 0+-2383666845837.019j 0+141959383412471300000000000000000000000000000000000000000000000000000000000000000000000j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 6.977482741188063+0j -1339.149954063006+0j -7771311652747.868+0j 14932168017075333000000000000000000000000000000000000000000000000000000000000000000000000+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
1+0j -0.16367386987696553+0j 29.027501527997366+0j 163135440.10473478+0j -1231102529833696600000000000000000000000000000000000000+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
1+0j -4.813808871311099+0j 1312.122452535009+0j 7771148517309.762+0j -14932168017075333000000000000000000000000000000000000000000000000000000000000000000000000+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 0+0j 0+0j 0+0j 0+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 0+0j 0+0j 0+0j 0+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 0+0j 0+0j 0+0j 0+0j 0+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 0+0j 0+0j 0+0j 0+0j 0+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
0+0j 0+0j 0+0j 0+0j 0+0j NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj NaN+NaNj 
